# File: Rao_multimodel_income_deciles_DIAMOND.csv
# Title: Rao Income Deciles adjustes by DIAMOND HH data and GCAM-Europe regional aggregation
# Units: NA
# Description: Income shares for all GCAM regions
# Column types: nncncc 
# ----------
GCAM_region_ID,year,sce,shares,category,model
13,2015,SSP2,0.0564743963229934,d4,PCA algorithm (Two Components)
13,2015,SSP5,0.0564743963229934,d4,PCA algorithm (Two Components)
13,2015,SSP4,0.0564743963229934,d4,PCA algorithm (Two Components)
10,2015,SSP1,0.040112112201757,d3,PCA algorithm (Two Components)
66,2015,SSP3,0.0381693832679448,d1,PCA algorithm (Two Components)
66,2015,SSP5,0.0381693832679448,d1,PCA algorithm (Two Components)
66,2015,SSP4,0.0381693832679448,d1,PCA algorithm (Two Components)
66,2015,SSP2,0.0381693832679448,d1,PCA algorithm (Two Components)
22,2015,SSP1,0.0473616061155769,d3,PCA algorithm (Two Components)
5,2015,SSP5,0.164394223799814,d9,PCA algorithm (Two Components)
22,2015,SSP5,0.0481034900240996,d3,PCA algorithm (Two Components)
5,2015,SSP4,0.164374667857252,d9,PCA algorithm (Two Components)
5,2015,SSP2,0.164368041828654,d9,PCA algorithm (Two Components)
5,2015,SSP3,0.164431115708711,d9,PCA algorithm (Two Components)
22,2015,SSP3,0.0481034900240996,d3,PCA algorithm (Two Components)
22,2015,SSP4,0.0481034900240996,d3,PCA algorithm (Two Components)
22,2015,SSP2,0.0481034900240996,d3,PCA algorithm (Two Components)
3,2015,SSP2,0.0476715966558024,d2,PCA algorithm (Two Components)
3,2015,SSP4,0.0476884533105597,d2,PCA algorithm (Two Components)
3,2015,SSP5,0.0476889249483735,d2,PCA algorithm (Two Components)
3,2015,SSP3,0.0476510957006645,d2,PCA algorithm (Two Components)
3,2015,SSP1,0.0477562908218625,d2,PCA algorithm (Two Components)
5,2015,SSP1,0.166370306008529,d9,PCA algorithm (Two Components)
20,2015,SSP1,0.0245150731677608,d1,PCA algorithm (Two Components)
7,2015,SSP1,0.0263340690200389,d2,PCA algorithm (Two Components)
7,2015,SSP2,0.0264581120671193,d2,PCA algorithm (Two Components)
7,2015,SSP3,0.0264581120671193,d2,PCA algorithm (Two Components)
7,2015,SSP4,0.0264581120671193,d2,PCA algorithm (Two Components)
7,2015,SSP5,0.0264581120671193,d2,PCA algorithm (Two Components)
59,2015,SSP1,0.026070877526451,d1,PCA algorithm (Two Components)
24,2015,SSP4,0.045752677396602,d4,PCA algorithm (Two Components)
24,2015,SSP5,0.0457733585801717,d4,PCA algorithm (Two Components)
24,2015,SSP3,0.0457412817119386,d4,PCA algorithm (Two Components)
24,2015,SSP2,0.0457655935366,d4,PCA algorithm (Two Components)
26,2015,SSP1,0.018303093131745,d1,PCA algorithm (Two Components)
24,2015,SSP1,0.0449817877187357,d4,PCA algorithm (Two Components)
12,2015,SSP1,0.0825514045328022,d7,PCA algorithm (Two Components)
9,2015,SSP4,0.0516912418099346,d5,PCA algorithm (Two Components)
9,2015,SSP3,0.0517134852761283,d5,PCA algorithm (Two Components)
12,2015,SSP5,0.0829103156124536,d7,PCA algorithm (Two Components)
12,2015,SSP3,0.0829103156124536,d7,PCA algorithm (Two Components)
12,2015,SSP4,0.0829103156124536,d7,PCA algorithm (Two Components)
12,2015,SSP2,0.0829103156124536,d7,PCA algorithm (Two Components)
9,2015,SSP2,0.0517217850299104,d5,PCA algorithm (Two Components)
9,2015,SSP5,0.0517823009921793,d5,PCA algorithm (Two Components)
20,2015,SSP2,0.0263554751511999,d1,PCA algorithm (Two Components)
20,2015,SSP3,0.0263554751511999,d1,PCA algorithm (Two Components)
20,2015,SSP5,0.0263554751511999,d1,PCA algorithm (Two Components)
16,2015,SSP1,0.0320765158329142,d2,PCA algorithm (Two Components)
16,2015,SSP5,0.0329495238547318,d2,PCA algorithm (Two Components)
20,2015,SSP4,0.0263554751511999,d1,PCA algorithm (Two Components)
16,2015,SSP3,0.0330536173476599,d2,PCA algorithm (Two Components)
16,2015,SSP2,0.0330012968989189,d2,PCA algorithm (Two Components)
64,2015,SSP1,0.0184564061202428,d1,PCA algorithm (Two Components)
16,2015,SSP4,0.0330403985993434,d2,PCA algorithm (Two Components)
4,2015,SSP4,0.155156592892746,d9,PCA algorithm (Two Components)
4,2015,SSP5,0.154736311711076,d9,PCA algorithm (Two Components)
59,2015,SSP4,0.0284303493431671,d1,PCA algorithm (Two Components)
4,2015,SSP2,0.155029565361801,d9,PCA algorithm (Two Components)
4,2015,SSP3,0.155278773865573,d9,PCA algorithm (Two Components)
59,2015,SSP5,0.0284303493431671,d1,PCA algorithm (Two Components)
