# File: estat_nrg_d_hhq_filtered_en.csv
# Title: Disaggregated final energy consumption in households - quantities
# Units: TJ
# Source: https://ec.europa.eu/eurostat/databrowser/view/nrg_d_hhq__custom_10176508/default/table?lang=en
# Column types: cccccccnnc 
# ----------
STRUCTURE,STRUCTURE_ID,freq,nrg_bal,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,NO,2011,39668.041,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,NO,2012,41888.567,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,NO,2013,37105.532,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,NO,2014,34888.614,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,NO,2015,37025.110,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,NO,2016,37158.467,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,NO,2017,39308.739,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,NO,2018,40000.364,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,NO,2019,40512.461,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,NO,2020,41790.941,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,NO,2021,45291.479,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,PL,2014,0.000,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,PL,2015,115032.908,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,PL,2016,119317.893,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,PL,2017,118768.398,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,PL,2018,248049.095,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,PL,2019,232393.995,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,PL,2020,217984.477,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,PL,2021,225572.148,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,PT,2010,31043.806,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,PT,2011,31330.806,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,PT,2012,33293.275,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,PT,2013,34152.968,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,PT,2014,42937.805,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,PT,2015,42944.640,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,PT,2016,43122.703,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,PT,2017,43520.703,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,PT,2018,44173.786,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,PT,2019,44422.550,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,PT,2020,45819.016,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,PT,2021,46579.600,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,RO,2015,123550.000,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,RO,2016,124547.034,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,RO,2017,127719.139,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,RO,2018,126780.099,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,RO,2019,127551.544,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,RO,2020,128149.468,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,RO,2021,136296.949,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,RS,2010,43370.000,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,RS,2011,36547.000,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,RS,2012,39513.000,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,RS,2013,33536.000,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,RS,2014,35650.000,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,RS,2015,35470.000,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,RS,2016,36558.000,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,RS,2017,33641.106,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,RS,2018,35208.993,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,RS,2019,36475.145,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,RS,2020,56775.356,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,RS,2021,59792.873,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,SE,2015,40576.000,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,SE,2016,38189.000,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,SE,2017,38128.000,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,SE,2018,33651.000,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,SE,2019,33479.000,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,SE,2020,37215.000,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,SE,2021,37565.000,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,SI,2010,23573.443,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,SI,2011,23901.408,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,SI,2012,23548.711,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,SI,2013,24458.444,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,SI,2014,20424.448,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,SI,2015,23292.921,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,SI,2016,23669.922,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,SI,2017,22530.571,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,SI,2018,20282.258,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,SI,2019,19203.400,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,SI,2020,19426.584,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,SI,2021,21849.363,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,SK,2015,1216.000,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,SK,2016,1557.000,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,SK,2017,1562.000,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,SK,2018,1821.670,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,SK,2019,25769.590,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,SK,2020,26215.990,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,SK,2021,31185.150,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,UA,2016,61764.000,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,UA,2017,70254.504,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,UA,2018,75930.000,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,UA,2019,77807.000,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,UK,2010,47130.171,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,UK,2011,42319.706,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,UK,2012,53219.117,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,UK,2013,68317.854,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,UK,2014,65845.106,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,UK,2015,74029.609,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,UK,2016,78191.965,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,UK,2017,77929.159,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,UK,2018,84869.029,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,XK,2017,14398.909,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,XK,2018,14554.524,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,XK,2019,14473.201,
