"","sector.name","subsector.name","intermittent.technology","year","input.capital","capital.overnight","fixed.charge.rate"
"359","base load generation","wind","wind_offshore_floating_base",2085,"capital",378,0.13
"360","intermediate generation","wind","wind_offshore_floating_int",2085,"capital",378,0.13
"361","subpeak generation","wind","wind_offshore_floating_subpeak",2085,"capital",378,0.13
"362","peak generation","wind","wind_offshore_floating_peak",2085,"capital",378,0.13
"363","base load generation","wind","wind_offshore_floating_base",2090,"capital",377,0.13
"364","intermediate generation","wind","wind_offshore_floating_int",2090,"capital",377,0.13
"365","subpeak generation","wind","wind_offshore_floating_subpeak",2090,"capital",377,0.13
"366","peak generation","wind","wind_offshore_floating_peak",2090,"capital",377,0.13
"367","base load generation","wind","wind_offshore_floating_base",2095,"capital",377,0.13
"368","intermediate generation","wind","wind_offshore_floating_int",2095,"capital",377,0.13
"369","subpeak generation","wind","wind_offshore_floating_subpeak",2095,"capital",377,0.13
"370","peak generation","wind","wind_offshore_floating_peak",2095,"capital",377,0.13
"371","base load generation","wind","wind_offshore_floating_base",2100,"capital",377,0.13
"372","intermediate generation","wind","wind_offshore_floating_int",2100,"capital",377,0.13
"373","subpeak generation","wind","wind_offshore_floating_subpeak",2100,"capital",377,0.13
"374","peak generation","wind","wind_offshore_floating_peak",2100,"capital",377,0.13
"375","base load generation","wind","wind_offshore_fixed_base",1975,"capital",683,0.13
"376","intermediate generation","wind","wind_offshore_fixed_int",1975,"capital",683,0.13
"377","subpeak generation","wind","wind_offshore_fixed_subpeak",1975,"capital",683,0.13
"378","peak generation","wind","wind_offshore_fixed_peak",1975,"capital",683,0.13
"379","base load generation","wind","wind_offshore_fixed_base",1990,"capital",683,0.13
"380","intermediate generation","wind","wind_offshore_fixed_int",1990,"capital",683,0.13
"381","subpeak generation","wind","wind_offshore_fixed_subpeak",1990,"capital",683,0.13
"382","peak generation","wind","wind_offshore_fixed_peak",1990,"capital",683,0.13
"383","base load generation","wind","wind_offshore_fixed_base",2005,"capital",683,0.13
"384","intermediate generation","wind","wind_offshore_fixed_int",2005,"capital",683,0.13
"385","subpeak generation","wind","wind_offshore_fixed_subpeak",2005,"capital",683,0.13
"386","peak generation","wind","wind_offshore_fixed_peak",2005,"capital",683,0.13
"387","base load generation","wind","wind_offshore_fixed_base",2010,"capital",683,0.13
"388","intermediate generation","wind","wind_offshore_fixed_int",2010,"capital",683,0.13
"389","subpeak generation","wind","wind_offshore_fixed_subpeak",2010,"capital",683,0.13
"390","peak generation","wind","wind_offshore_fixed_peak",2010,"capital",683,0.13
"391","base load generation","wind","wind_offshore_fixed_base",2015,"capital",683,0.13
"392","intermediate generation","wind","wind_offshore_fixed_int",2015,"capital",683,0.13
"393","subpeak generation","wind","wind_offshore_fixed_subpeak",2015,"capital",683,0.13
"394","peak generation","wind","wind_offshore_fixed_peak",2015,"capital",683,0.13
"395","base load generation","wind","wind_offshore_fixed_base",2021,"capital",660,0.13
"396","intermediate generation","wind","wind_offshore_fixed_int",2021,"capital",660,0.13
"397","subpeak generation","wind","wind_offshore_fixed_subpeak",2021,"capital",660,0.13
"398","peak generation","wind","wind_offshore_fixed_peak",2021,"capital",660,0.13
"399","base load generation","wind","wind_offshore_fixed_base",2025,"capital",579,0.13
"400","intermediate generation","wind","wind_offshore_fixed_int",2025,"capital",579,0.13
"401","subpeak generation","wind","wind_offshore_fixed_subpeak",2025,"capital",579,0.13
"402","peak generation","wind","wind_offshore_fixed_peak",2025,"capital",579,0.13
"403","base load generation","wind","wind_offshore_fixed_base",2030,"capital",510,0.13
"404","intermediate generation","wind","wind_offshore_fixed_int",2030,"capital",510,0.13
