"","sector.name","subsector.name","intermittent.technology","year","input.capital","capital.overnight","fixed.charge.rate","subsector.name0"
"293","subpeak generation","wind_subpeak","wind",1990,"capital",371,0.13,"wind"
"294","peak generation","wind_peak","wind",1990,"capital",371,0.13,"wind"
"295","base load generation","wind_base","wind",2005,"capital",371,0.13,"wind"
"296","intermediate generation","wind_int","wind",2005,"capital",371,0.13,"wind"
"297","subpeak generation","wind_subpeak","wind",2005,"capital",371,0.13,"wind"
"298","peak generation","wind_peak","wind",2005,"capital",371,0.13,"wind"
"299","base load generation","wind_base","wind",2010,"capital",371,0.13,"wind"
"300","intermediate generation","wind_int","wind",2010,"capital",371,0.13,"wind"
"301","subpeak generation","wind_subpeak","wind",2010,"capital",371,0.13,"wind"
"302","peak generation","wind_peak","wind",2010,"capital",371,0.13,"wind"
"303","base load generation","wind_base","wind",2015,"capital",371,0.13,"wind"
"304","intermediate generation","wind_int","wind",2015,"capital",371,0.13,"wind"
"305","subpeak generation","wind_subpeak","wind",2015,"capital",371,0.13,"wind"
"306","peak generation","wind_peak","wind",2015,"capital",371,0.13,"wind"
"307","base load generation","wind_base","wind",2021,"capital",354,0.13,"wind"
"308","intermediate generation","wind_int","wind",2021,"capital",354,0.13,"wind"
"309","subpeak generation","wind_subpeak","wind",2021,"capital",354,0.13,"wind"
"310","peak generation","wind_peak","wind",2021,"capital",354,0.13,"wind"
"311","base load generation","wind_base","wind",2025,"capital",297,0.13,"wind"
"312","intermediate generation","wind_int","wind",2025,"capital",297,0.13,"wind"
"313","subpeak generation","wind_subpeak","wind",2025,"capital",297,0.13,"wind"
"314","peak generation","wind_peak","wind",2025,"capital",297,0.13,"wind"
"315","base load generation","wind_base","wind",2030,"capital",250,0.13,"wind"
"316","intermediate generation","wind_int","wind",2030,"capital",250,0.13,"wind"
"317","subpeak generation","wind_subpeak","wind",2030,"capital",250,0.13,"wind"
"318","peak generation","wind_peak","wind",2030,"capital",250,0.13,"wind"
"319","base load generation","wind_base","wind",2035,"capital",221,0.13,"wind"
"320","intermediate generation","wind_int","wind",2035,"capital",221,0.13,"wind"
"321","subpeak generation","wind_subpeak","wind",2035,"capital",221,0.13,"wind"
"322","peak generation","wind_peak","wind",2035,"capital",221,0.13,"wind"
"323","base load generation","wind_base","wind",2040,"capital",203,0.13,"wind"
