# File: OutputsByTech.csv,,,,,,,,,,
# Title: Outputs by tech used for GDP intensity policies,,,,,,,,,,
# Comments: Heavily filtered; could be even more filtered to just the needed sectors,,,,,,,,,,
# Updated August 17th with IAMCOMPACT reference scenario,,,,,,,,,,
# Units: EJ,,,,,,,,,,
# Column types: cccccnnnnnc,,,,,,,,,,
# ----------,,,,,,,,,,
region,sector,subsector,output,technology,1990,2005,2010,2015,2021,Units
China,elec_biomass (IGCC),biomass (IGCC),elec_biomass (IGCC),biomass (IGCC) (dry cooling),0,0,0,0,0,EJ
China,elec_biomass (IGCC),biomass (IGCC),elec_biomass (IGCC),biomass (IGCC) (once through),0,0,0,0,0,EJ
China,elec_biomass (IGCC),biomass (IGCC),elec_biomass (IGCC),biomass (IGCC) (recirculating),0,0.00E+00,0,0,0,EJ
China,elec_biomass (IGCC),biomass (IGCC),elec_biomass (IGCC),biomass (IGCC) (seawater),0,0,0,0,0,EJ
Russia,elec_biomass (IGCC),biomass (IGCC),elec_biomass (IGCC),biomass (IGCC) (once through),0,0,0,0,0,EJ
Russia,elec_biomass (IGCC),biomass (IGCC),elec_biomass (IGCC),biomass (IGCC) (recirculating),0,0,0,0.00E+00,0,EJ
Russia,elec_biomass (IGCC),biomass (IGCC),elec_biomass (IGCC),biomass (IGCC) (seawater),0,0,0,0,0,EJ
Australia_NZ,elec_biomass (conv),biomass (conv),elec_biomass (conv),biomass (conv) (dry cooling),0,0,0,0,0,EJ
Australia_NZ,elec_biomass (conv),biomass (conv),elec_biomass (conv),biomass (conv) (once through),0,6.39E-04,2.23E-04,4.63E-04,5.70E-04,EJ
Australia_NZ,elec_biomass (conv),biomass (conv),elec_biomass (conv),biomass (conv) (recirculating),0,0,0,0,0,EJ
Australia_NZ,elec_biomass (conv),biomass (conv),elec_biomass (conv),biomass (conv) (seawater),0,0.00124029,4.32E-04,8.98E-04,0.00110718,EJ
China,elec_biomass (conv),biomass (conv),elec_biomass (conv),biomass (conv) (cooling pond),0,0.00131038,0.00853349,0.0160596,0.0429277,EJ
China,elec_biomass (conv),biomass (conv),elec_biomass (conv),biomass (conv) (dry cooling),9.87E-08,0.00151818,0.00988659,0.0186063,0.0497348,EJ
China,elec_biomass (conv),biomass (conv),elec_biomass (conv),biomass (conv) (once through),9.87E-08,0.00325726,0.0212118,0.0399197,0.106706,EJ
China,elec_biomass (conv),biomass (conv),elec_biomass (conv),biomass (conv) (recirculating),9.87E-07,0.0121472,0.0791053,0.148873,0.39794,EJ
China,elec_biomass (conv),biomass (conv),elec_biomass (conv),biomass (conv) (seawater),8.89E-07,4.87E-04,0.0031696,0.00596547,0.0159448,EJ
Russia,elec_biomass (conv),biomass (conv),elec_biomass (conv),biomass (conv) (once through),0,0.00E+00,0.00E+00,0.00E+00,0,EJ
Russia,elec_biomass (conv),biomass (conv),elec_biomass (conv),biomass (conv) (recirculating),0,0.00E+00,0.00E+00,0.00E+00,0,EJ
Russia,elec_biomass (conv),biomass (conv),elec_biomass (conv),biomass (conv) (seawater),0,0,0,0,0,EJ
Australia_NZ,elec_coal (IGCC),coal (IGCC),elec_coal (IGCC),coal (IGCC) (dry cooling),0,0,0,0,0,EJ
Australia_NZ,elec_coal (IGCC),coal (IGCC),elec_coal (IGCC),coal (IGCC) (once through),0,0,0,0,0,EJ
Australia_NZ,elec_coal (IGCC),coal (IGCC),elec_coal (IGCC),coal (IGCC) (recirculating),0,0,0,0,0,EJ
