# File: policy_tech_mappings.csv,,,
# Title: Policy technology mapping,,,
# Units: NA,,,
# Column types: cccc,,,
# ----------,,,
tech_mapping,supplysector,subsector,stub.technology
PRIMARY_ENERGY,elec_geothermal,geothermal,geothermal (recirculating)
PRIMARY_ENERGY,elect_td_bld,rooftop_pv,rooftop_pv
PRIMARY_ENERGY,electricity,hydro,hydro
PRIMARY_ENERGY,electricity,solar,PV
PRIMARY_ENERGY,electricity,solar,PV_storage
PRIMARY_ENERGY,electricity,wind,wind
PRIMARY_ENERGY,electricity,wind,wind_offshore
PRIMARY_ENERGY,electricity,wind,wind_storage
PRIMARY_ENERGY,H2 central production,solar,electrolysis
PRIMARY_ENERGY,H2 central production,wind,electrolysis
PRIMARY_ENERGY,H2 central production,nuclear,electrolysis
PRIMARY_ENERGY_FOSSIL,regional coal,domestic coal,domestic coal
PRIMARY_ENERGY_FOSSIL,regional coal,imported coal,imported coal
PRIMARY_ENERGY_FOSSIL,gas processing,natural gas,natural gas
PRIMARY_ENERGY_FOSSIL,regional oil,domestic crude oil,domestic crude oil
PRIMARY_ENERGY_FOSSIL,regional oil,imported crude oil,imported crude oil
PRIMARY_ENERGY_FOSSIL,H2 central production,gas,natural gas steam reforming
REF_LIQ_TRN,refined liquids transport,refined liquids transport,refined liquids transport
REF_LIQ_TRN_BUNKERS,refined liquids transport,refined liquids transport,refined liquids transport
REF_LIQ_TRN_BUNKERS,refined liquids bunkers,refined liquids bunkers,refined liquids bunkers
REG_NAT_GAS,regional natural gas,domestic natural gas,domestic natural gas
REG_NAT_GAS,regional natural gas,imported natural gas,imported natural gas
RESID,resid cooling,electricity,electricity
RESID,resid heating,electricity,electricity
RESID,resid heating,biomass,biomass
RESID,resid heating,coal,coal
RESID,resid heating,gas,gas
RESID,resid heating,gas,hydrogen
RESID,resid heating,refined liquids,refined liquids
RESID,resid heating,district heat,district heat
RESID,resid others,electricity,electricity
RESID,resid others,biomass,biomass
RESID,resid others,coal,coal
RESID,resid others,gas,gas
RESID,resid others,gas,hydrogen
RESID,resid others,refined liquids,refined liquids
RESID,resid others,district heat,district heat
RESID_ELEC,resid cooling,electricity,electricity
RESID_ELEC,resid heating,electricity,electricity
RESID_ELEC,resid others,electricity,electricity
ROOFTOP_PV,elect_td_bld,rooftop_pv,rooftop_pv
TPES_BIO,regional biomass,regional biomass,regional biomass
TPES_BIO,regional biomassOil,regional biomassOil,Soybean
TPES_BIO,regional biomassOil,regional biomassOil,OilCrop
TPES_BIO,regional biomassOil,regional biomassOil,OilPalm
TPES_BIO,regional sugar for ethanol,regional sugar for ethanol,regional sugar for ethanol
TPES_BIO,regional corn for ethanol,regional corn for ethanol,regional corn for ethanol
TPES_CHINA,elec_CSP,CSP,CSP (dry_hybrid)
TPES_CHINA,elec_CSP,CSP,CSP (recirculating)
TPES_CHINA,elec_CSP_storage,CSP_storage,CSP_storage (dry_hybrid)
TPES_CHINA,elec_CSP_storage,CSP_storage,CSP_storage (recirculating)
TPES_CHINA,elec_Gen_III,Gen_III,Gen_III (cooling pond)
TPES_CHINA,elec_Gen_III,Gen_III,Gen_III (once through)
